"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Q0010",0,NA,NA,NA,NA,NA
"Q0017",0,NA,NA,NA,NA,NA
"Q0032",0,NA,NA,NA,NA,NA
"Q0045",0.158025508590415,-0.0590315180885048,3.06541833606794,-0.0192572470106072,0.984635889540993,NA
"Q0050",0.444813017515764,0.122570972252182,1.93887773420395,0.0632174840578622,0.949593322361662,0.971741238155163
"Q0055",0.0750526923531905,0.671878721673523,3.5338115409304,0.190128622845752,0.849208341364259,NA
"Q0060",0,NA,NA,NA,NA,NA
"Q0065",0,NA,NA,NA,NA,NA
"Q0070",0,NA,NA,NA,NA,NA
"Q0075",0,NA,NA,NA,NA,NA
"Q0080",0,NA,NA,NA,NA,NA
"Q0085",0.0756583699848759,0.671878721673522,3.5338115409304,0.190128622845752,0.84920834136426,NA
"Q0092",0,NA,NA,NA,NA,NA
"Q0105",0.0750526923531905,0.671878721673522,3.5338115409304,0.190128622845752,0.84920834136426,NA
"Q0110",0,NA,NA,NA,NA,NA
"Q0115",0,NA,NA,NA,NA,NA
"Q0120",0.0756583699848759,0.671878721673522,3.5338115409304,0.190128622845752,0.84920834136426,NA
"Q0130",0.151102791016052,-0.0462512699149123,3.11302377045496,-0.0148573455666716,0.988145989469909,NA
"Q0140",0,NA,NA,NA,NA,NA
"Q0142",0,NA,NA,NA,NA,NA
"Q0143",0,NA,NA,NA,NA,NA
"Q0144",0,NA,NA,NA,NA,NA
"Q0160",0,NA,NA,NA,NA,NA
"Q0182",0,NA,NA,NA,NA,NA
"Q0250",0.158393861167697,-0.054628740595389,3.06240790952861,-0.0178384925226365,0.985767697046687,NA
"Q0255",0,NA,NA,NA,NA,NA
"Q0275",0.0756583699848759,0.671878721673522,3.5338115409304,0.190128622845752,0.84920834136426,NA
"Q0297",0,NA,NA,NA,NA,NA
"YAL001C",70.9754206187137,-0.454608806051089,0.18329275493216,-2.48023336339371,0.0131296421062971,0.0383767020066548
"YAL002W",62.9734870592367,-0.158157589095795,0.180246079654748,-0.877453697737768,0.380240257749552,0.532892686653218
"YAL003W",1052.80209709823,1.27220150911695,0.0442556585592727,28.7466405547454,9.9771412048395e-182,7.50898651154706e-180
"YAL004W",0,NA,NA,NA,NA,NA
"YAL005C",1809.20857491961,1.81462749669967,0.0356363948494978,50.9206249499518,0,0
"YAL007C",124.278362252694,-0.139350855965232,0.132044781244597,-1.05533028001388,0.291274297125662,0.443292274055954
"YAL008W",60.3123401737647,-0.103358123726348,0.184335138073384,-0.560707658922851,0.574996845176856,0.710263785699118
"YAL009W",41.6196841789096,-0.610605468139155,0.241000294472965,-2.53362955209025,0.0112888002693939,0.0339039407615717
"YAL010C",43.1737147780199,-0.373021679865281,0.216695812450207,-1.72140696051058,0.0851770020890625,0.176438075755915
"YAL011W",50.9250517518256,-0.655336690541881,0.202845643634333,-3.23071611891872,0.0012348051355801,0.00493765848648793
"YAL012W",795.061937960386,0.604865884394139,0.0514008816046069,11.7676169262421,5.73209256328786e-32,1.05343863910191e-30
